survival_type,period,sex,age_group,years_since_dx,subtype,survival_pct,ci_lower,ci_upper
Observed,2012–2016,persons,35–44,2,follicular,0.99,0.974,0.996
Observed,2012–2016,persons,45–54,2,follicular,0.976,0.963,0.9840000000000002
Observed,2012–2016,persons,55–64,2,follicular,0.968,0.958,0.976
Observed,2012–2016,persons,65–74,2,follicular,0.943,0.93,0.954
Observed,2012–2016,persons,75–84,2,follicular,0.844,0.817,0.866
Observed,2012–2016,persons,85+,2,follicular,0.61,0.547,0.668
Observed,2012–2016,persons,5–14,3,follicular,NA,NA,NA
Observed,2012–2016,persons,15–24,3,follicular,NA,NA,NA
Observed,2012–2016,persons,25–34,3,follicular,1,0.97,1
Observed,2012–2016,persons,35–44,3,follicular,0.981,0.962,0.99
Observed,2012–2016,persons,45–54,3,follicular,0.963,0.948,0.973
Observed,2012–2016,persons,55–64,3,follicular,0.953,0.941,0.963
Observed,2012–2016,persons,65–74,3,follicular,0.899,0.882,0.913
Observed,2012–2016,persons,75–84,3,follicular,0.784,0.755,0.811
Observed,2012–2016,persons,85+,3,follicular,0.487,0.423,0.548
Observed,2012–2016,persons,5–14,4,follicular,NA,NA,NA
Observed,2012–2016,persons,15–24,4,follicular,NA,NA,NA
Observed,2012–2016,persons,25–34,4,follicular,1,0.971,1
Observed,2012–2016,persons,35–44,4,follicular,0.976,0.956,0.9870000000000002
Observed,2012–2016,persons,45–54,4,follicular,0.951,0.935,0.963
Observed,2012–2016,persons,55–64,4,follicular,0.936,0.922,0.947
Observed,2012–2016,persons,65–74,4,follicular,0.875,0.857,0.892
Observed,2012–2016,persons,75–84,4,follicular,0.719,0.688,0.749
Observed,2012–2016,persons,85+,4,follicular,0.406,0.343,0.468
Observed,2012–2016,persons,5–14,5,follicular,NA,NA,NA
Observed,2012–2016,persons,15–24,5,follicular,NA,NA,NA
Observed,2012–2016,persons,25–34,5,follicular,0.99,0.933,0.999
Observed,2012–2016,persons,35–44,5,follicular,0.966,0.944,0.98
