year,prev_mid,prev_p025,prev_p975,prev_mean,duration,subtype,sex
2036,3443.3120799923954,2869.5679776508587,4087.174517876779,3444.7542162489035,40,mantle_cell,males
2037,3600.8670005499516,2955.8593430728297,4323.296792068537,3604.824220023869,40,mantle_cell,males
2038,3763.586008421159,3060.923563439263,4543.582809760712,3764.268904194807,40,mantle_cell,males
2039,3917.532593075529,3141.771670885097,4781.383959093882,3922.0264641003123,40,mantle_cell,males
2040,4065.235918671355,3210.330683052287,5047.294309214556,4077.5639862335433,40,mantle_cell,males
2041,4210.963805895084,3268.01113574477,5293.437970176037,4229.716857590185,40,mantle_cell,males
2042,4352.945900391576,3343.9043002776893,5527.208703086181,4378.450873077717,40,mantle_cell,males
2043,4496.285616734076,3406.3854484833064,5772.696835561664,4524.527836873899,40,mantle_cell,males
2044,4636.265355448918,3452.987993463747,6016.533289079985,4665.546734939611,40,mantle_cell,males
2045,4771.59629944522,3493.381431810152,6260.574858550983,4801.730822136743,40,mantle_cell,males
2012,116.29568861384433,112.40997536993397,119.39328348822534,116.22213394076512,2,mantle_cell,females
2013,122.1721484777925,117.70794717376437,126.0547023224183,122.05820904899817,2,mantle_cell,females
2014,134.23145556479233,129.78050275145816,137.9908763332353,134.13135375176873,2,mantle_cell,females
2015,147.6227029300631,142.8504878768174,151.79315761943127,147.5578284406199,2,mantle_cell,females
2016,136.78615266670056,132.12273151958357,140.85020781862252,136.68693214560398,2,mantle_cell,females
2017,136.09447835475848,132.75019956997374,138.76640063469026,136.00617967757807,2,mantle_cell,females
2018,139.03874542012574,134.5276597499628,142.6900321662525,138.9563475085899,2,mantle_cell,females
2019,125.67906598072943,121.71177965389488,129.03038818578986,125.58161759892806,2,mantle_cell,females
2020,136.3525291037515,131.54623752467592,140.35006073639963,136.2431063260264,2,mantle_cell,females
2021,141.14680871427316,135.16218814186604,146.34978554844557,141.00947433586782,2,mantle_cell,females
2022,138.80875300061084,124.32658715118691,155.09765847845355,139.06313769632234,2,mantle_cell,females
2023,151.04271256998652,124.45204219416648,182.73504728788532,151.58649433702945,2,mantle_cell,females
2024,160.86148027945694,131.64189378387624,195.1216853435259,161.72570911612362,2,mantle_cell,females
2025,170.9492374278091,139.0779249662556,207.58440243844473,172.17871567914804,2,mantle_cell,females
2026,181.77831784146775,147.56584761996788,221.45794307988,183.10626553782814,2,mantle_cell,females
2027,193.10572383267953,156.6945965333534,236.70239304881386,194.40496394869967,2,mantle_cell,females
2028,204.70419294716908,164.63244667888165,253.37528398564558,205.83106365058688,2,mantle_cell,females
2029,215.73446369062123,171.96482691796515,270.3875626844332,217.16917256155432,2,mantle_cell,females
2030,226.45282368066168,178.6975361387282,286.7400822942442,228.12681533985003,2,mantle_cell,females
2031,236.58005674596245,184.06672707504995,304.91740215322574,238.64579689245778,2,mantle_cell,females
2032,246.4536751897819,187.89796105672676,322.4461517461935,248.47509627238844,2,mantle_cell,females
2033,255.80857532997123,192.65611097018936,337.23705286031566,257.6881602733819,2,mantle_cell,females
2034,264.5544482151863,197.147251692228,354.46452152862923,267.10518835172155,2,mantle_cell,females
2035,273.87046860794203,202.27079325965363,371.71123186200015,276.6579974481369,2,mantle_cell,females
2036,282.75384189689555,205.9991322004951,390.9605098094251,286.5050203992487,2,mantle_cell,females
2037,292.36002969588526,209.95787119813153,409.2760462094427,296.55837697603255,2,mantle_cell,females
2038,301.57986254550195,212.72952425408818,429.15303371050067,306.3814835139163,2,mantle_cell,females
2039,310.4148968926594,215.41659037651652,450.31526096798444,315.82013027466866,2,mantle_cell,females
2040,318.7717231809016,218.13639203300835,470.6884921858443,324.7650832068364,2,mantle_cell,females
